Antiguedad,Kilometraje,Marca.1.Índice,Modelo.1.Índice,Version.1.Índice,Precios Lista.Precio de Lista,Precio
7,76477,5,35,162,985000,368999
9,42100,5,42,214,940000,292999
6,70000,5,34,125,795000,332999
5,18000,5,31,123,885000,589999
5,65000,5,38,124,1215000,558999
6,68642,5,32,124,985000,467999
6,62000,5,36,144,695000,322999
8,96240,5,39,148,1595000,469999
5,51805,5,34,127,795000,478999
9,114116,5,37,137,795000,258999
7,83741,5,36,144,695000,270999
9,118037,5,36,164,695000,209999
7,73545,5,36,144,695000,271999
8,68414,5,37,200,795000,265999
6,67773,5,32,124,985000,430999
5,64011,5,33,183,795000,530999
5,46469,5,31,147,885000,491999
5,41253,5,35,129,985000,610999
4,39000,5,33,126,795000,466999
6,53085,5,32,159,985000,432999
6,70090,5,36,144,695000,303999
7,31829,5,32,159,985000,437999
8,95471,5,31,147,885000,269999
8,78025,5,37,137,795000,291999
6,40664,5,32,124,985000,486999
4,31529,5,34,165,795000,479999
10,52582,5,34,151,795000,268999
6,94000,5,34,125,795000,279999
7,56825,5,36,188,695000,432999
4,46172,5,34,165,795000,444999
9,97000,5,37,200,795000,274999
8,87605,5,37,137,795000,301999
7,126183,5,38,186,1215000,466999
5,56276,5,34,127,795000,414999
5,43000,5,31,168,885000,429999
2,5836,5,37,182,795000,623999
7,70000,5,31,181,885000,330999
4,27552,5,33,126,795000,466999
8,84666,5,31,163,885000,304999
5,38000,5,31,168,885000,454999
5,60000,5,33,167,795000,438999
6,50000,5,34,127,795000,384999
6,73241,5,36,144,695000,307999
4,42050,5,31,158,885000,544999
7,29458,5,34,151,795000,371999
6,61826,5,36,143,695000,321999
7,51604,5,31,181,885000,400999
6,68786,5,39,193,1595000,696999
8,50488,5,31,123,885000,298999
6,56000,5,36,144,695000,322999
8,91494,5,31,123,885000,304999
10,106399,5,38,136,1215000,389999
6,51342,5,36,143,695000,332999
7,72375,5,32,159,985000,429999
7,100005,5,38,186,1215000,509999
4,36150,5,32,132,985000,568999
12,120189,5,36,160,695000,196999
8,68695,5,37,145,795000,268999
9,116119,5,34,151,795000,272999
11,77151,5,36,160,695000,207999
10,99737,5,31,189,885000,218999
5,48148,5,34,125,795000,354999
5,36659,5,34,150,795000,410999
9,68483,5,36,157,695000,187999
8,92067,5,40,178,1795000,448999
6,57671,5,34,125,795000,291999
10,111410,5,36,171,695000,166999
8,35000,5,35,129,985000,426999
7,55874,5,34,131,795000,291999
7,70248,5,36,144,695000,237999
9,116458,5,36,157,695000,203999
8,78585,5,31,172,885000,273999
6,60328,5,36,144,695000,320999
9,140629,5,32,128,985000,244999
7,51776,5,34,131,795000,349999
5,55613,5,39,138,1595000,779999
6,66800,5,32,124,985000,512999
8,96000,5,32,128,985000,321999
6,94000,5,34,125,795000,252999
4,36679,5,33,184,795000,467999
8,70802,5,37,137,795000,286999
8,88009,5,35,169,985000,335999
7,47300,5,31,196,885000,314999
8,82795,5,32,170,985000,310999
6,71200,5,34,125,795000,338999
5,48521,5,33,142,795000,459999
6,52882,5,33,167,795000,402999
2,20000,5,36,192,695000,808999
3,58079,5,34,165,795000,461999
7,76477,5,35,162,985000,376999
5,42264,5,31,147,885000,473999
9,111599,5,37,137,795000,245999
8,91795,5,32,128,985000,332999
8,98041,5,34,135,795000,289999
9,40506,5,35,174,985000,431999
4,47631,5,32,175,985000,753999
5,15613,5,31,168,885000,502999
3,53035,5,34,126,795000,446999
3,14550,5,41,199,1315000,1067999
6,67738,5,36,144,695000,315999
12,119000,5,32,155,985000,208999
6,47592,5,33,125,795000,371999
8,93317,5,37,137,795000,280999
9,73000,5,37,137,795000,287999
7,34598,5,32,159,985000,453999
2,34280,5,37,182,795000,557999
6,52000,5,34,125,795000,320999
10,41000,5,37,137,795000,309999
5,43000,5,33,125,795000,386999
9,91873,5,37,137,795000,279999
7,71000,5,34,135,795000,302999
8,34000,5,31,163,885000,361999
6,60544,5,32,159,985000,410999
4,39000,5,33,126,795000,467999
5,43000,5,33,125,795000,392999
5,46000,5,33,125,795000,399999
4,33363,5,33,184,795000,521999
6,94000,5,34,125,795000,280999
6,55491,5,34,125,795000,351999
6,70000,5,34,125,795000,336999
7,49783,5,34,135,795000,328999
